timestamp;lat;lon;alt
919502141;469482047;87136787;1589997
919995159;469481748;87137924;1589080
920504121;469481453;87139070;1588218
920996090;469481161;87140220;1587403
921502257;469480871;87141368;1586596
921991262;469480579;87142516;1585799
922499138;469480287;87143661;1584994
922992782;469479991;87144800;1584200
923503617;469479690;87145938;1583367
923995589;469479388;87147075;1582497
924501284;469479086;87148215;1581524
924993249;469478793;87149366;1580609
925500225;469478536;87150544;1579699
925992311;469478336;87151756;1578809
926501938;469478209;87153004;1578017
926988162;469478119;87154278;1577279
927502482;469478005;87155636;1577037
927994136;469477783;87157057;1577791
928499146;469477408;87158466;1579174
928995926;469476863;87159788;1581158
929500253;469476176;87160986;1583497
929993129;469475367;87162030;1585973
930502137;469474457;87162884;1588601
930995210;469473476;87163539;1591156
931498378;469472454;87163988;1593471
931995911;469471417;87164196;1595661
932500481;469470398;87164152;1597748
932992100;469469433;87163859;1599749
933503179;469468558;87163329;1601665
933995157;469467792;87162622;1603527
934502207;469467131;87161817;1605356
934995133;469466555;87160962;1607030
935502485;469466035;87160082;1608298
935988143;469465560;87159177;1609257
936504237;469465118;87158244;1609976
936995507;469464686;87157296;1610572
937502774;469464252;87156343;1611231
937995218;469463809;87155394;1612072
938504143;469463352;87154457;1613076
938995132;469462880;87153538;1614228
939500045;469462392;87152634;1615473
939996129;469461890;87151742;1616676
940500135;469461381;87150855;1617766
940996127;469460871;87149965;1618776
941503134;469460366;87149063;1619880
941995130;469459867;87148149;1621074
942503217;469459373;87147225;1622439
942996127;469458878;87146295;1623817
943499669;469458385;87145359;1625163
943997138;469457891;87144415;1626282
944505215;469457396;87143464;1627354
944991322;469456899;87142506;1628356
945503173;469456400;87141543;1629421
945995132;469455900;87140577;1630606
946504496;469455396;87139609;1631906
946995132;469454890;87138642;1633293
947500301;469454380;87137677;1634538
947993029;469453867;87136712;1635761
948505288;469453352;87135748;1636882
948994180;469452838;87134784;1638011
949497145;469452324;87133819;1639205
949998743;469451815;87132848;1640604
950507129;469451310;87131868;1642186
950998127;469450810;87130880;1643833
951507462;469450309;87129888;1645341
951999307;469449807;87128900;1646705
952504196;469449305;87127914;1647804
952996234;469448806;87126927;1648926
953507922;469448307;87125946;1650250
953995101;469447807;87124973;1651630
954504430;469447308;87124007;1653272
954999143;469446807;87123048;1655026
955506130;469446324;87122081;1656533
955999240;469445874;87121090;1657633
956508128;469445470;87120056;1658358
956996594;469445140;87118961;1659029
957504323;469444903;87117809;1659776
957999138;469444778;87116616;1660821
958503133;469444760;87115407;1662021
958997644;469444841;87114207;1663389
959507193;469445011;87113033;1664835
959996750;469445257;87111889;1666185
960509130;469445569;87110794;1667333
961000349;469445889;87109741;1667350
961504959;469446162;87108682;1666101
961997175;469446290;87107549;1664560
962507030;469446205;87106377;1663297
962995128;469445906;87105250;1662523
963507128;469445451;87104227;1662420
964000560;469444909;87103308;1662857
964507133;469444327;87102470;1663458
965000193;469443723;87101686;1663941
965504391;469443101;87100951;1664292
965997139;469442457;87100265;1664409
966504351;469441783;87099639;1664315
966998132;469441073;87099095;1664118
967502130;469440322;87098656;1663899
967999219;469439534;87098352;1663723
968507131;469438722;87098204;1663703
968998211;469437900;87098216;1663788
969504392;469437086;87098385;1663988
969999610;469436293;87098694;1664210
970510532;469435530;87099131;1664388
971001356;469434802;87099685;1664560
971508814;469434115;87100347;1664602
971996130;469433479;87101114;1664577
972508134;469432905;87101985;1664529
973000136;469432403;87102953;1664512
973506321;469431984;87104005;1664516
974000261;469431653;87105123;1664541
974509526;469431415;87106290;1664561
974997794;469431268;87107488;1664522
975508807;469431221;87108705;1664495
976000730;469431273;87109924;1664432
976503134;469431424;87111128;1664373
976999901;469431675;87112298;1664349
977506497;469432017;87113419;1664339
977998134;469432445;87114479;1664277
978506517;469432954;87115460;1664263
979000706;469433537;87116348;1664223
979504599;469434187;87117128;1664210
979998139;469434894;87117788;1664258
980509080;469435647;87118321;1664311
980995813;469436435;87118724;1664278
981505713;469437246;87118987;1664290
981996173;469438068;87119110;1664280
982507184;469438891;87119092;1664304
982999152;469439702;87118936;1664398
983504141;469440491;87118648;1664492
983995894;469441248;87118234;1664547
984505179;469441965;87117699;1664601
984997000;469442633;87117050;1664658
985504512;469443244;87116300;1664674
986000458;469443791;87115462;1664667
986505776;469444273;87114546;1664623
986997180;469444681;87113560;1664553
987507283;469445012;87112515;1664486
988000132;469445260;87111422;1664458
988509231;469445421;87110296;1664459
989002832;469445495;87109149;1664472
989506140;469445482;87107999;1664523
989996470;469445383;87106858;1664597
990507148;469445201;87105740;1664632
991001562;469444937;87104656;1664617
991508866;469444591;87103620;1664577
992002137;469444168;87102644;1664533
992507256;469443673;87101742;1664489
993001362;469443111;87100924;1664495
993507158;469442490;87100201;1664499
994000790;469441818;87099581;1664469
994505916;469441097;87099079;1664504
995001950;469440339;87098702;1664532
995508565;469439557;87098456;1664542
996000911;469438760;87098341;1664532
996507739;469437956;87098348;1664495
997001250;469437155;87098480;1664552
997506653;469436364;87098744;1664688
997999569;469435595;87099133;1664822
998511505;469434856;87099649;1664973
998997726;469434162;87100286;1665046
999510742;469433523;87101038;1665043
1000002133;469432949;87101899;1665021
1000507148;469432450;87102856;1664996
1001003289;469432032;87103895;1665010
1001506330;469431700;87105001;1665027
1001998012;469431456;87106156;1665043
1002507986;469431300;87107345;1665039
1003002128;469431238;87108555;1664980
1003506055;469431275;87109771;1664916
1004000306;469431410;87110975;1664822
1004511436;469431646;87112151;1664742
1005001262;469431979;87113280;1664718
1005507402;469432399;87114346;1664682
1006002156;469432900;87115334;1664664
1006509152;469433475;87116234;1664604
1007003130;469434119;87117029;1664578
1007506850;469434822;87117707;1664542
1007997132;469435575;87118258;1664513
1008511109;469436368;87118671;1664463
1009002703;469437185;87118941;1664440
1009510188;469438016;87119069;1664453
1010002203;469438846;87119058;1664455
1010509542;469439665;87118909;1664456
1011001292;469440464;87118625;1664513
1011509317;469441231;87118212;1664595
1011999770;469441958;87117674;1664686
1012507432;469442637;87117024;1664726
1013002131;469443260;87116267;1664707
1013510459;469443816;87115413;1664650
1013997940;469444299;87114471;1664563
1014510131;469444700;87113454;1664547
1015001600;469445020;87112380;1664555
1015508478;469445254;87111266;1664617
1016003515;469445407;87110124;1664662
1016509199;469445473;87108964;1664729
1016996129;469445452;87107801;1664764
1017509106;469445341;87106651;1664778
1018002010;469445143;87105525;1664757
1018509369;469444862;87104436;1664710
1019002507;469444496;87103398;1664659
1019509785;469444053;87102425;1664562
1020001779;469443532;87101531;1664528
1020510135;469442943;87100726;1664541
1021002735;469442290;87100028;1664701
1021505241;469441588;87099438;1664937
1022001735;469440847;87098967;1665249
1022507214;469440083;87098616;1665332
1023001250;469439307;87098386;1665190
1023510134;469438520;87098284;1664999
1024000062;469437727;87098314;1664896
1024510129;469436936;87098482;1664875
1025004187;469436160;87098785;1664925
1025511243;469435410;87099217;1664978
1025997497;469434697;87099773;1665027
1026511254;469434029;87100443;1665083
1027002131;469433414;87101218;1665101
1027506144;469432857;87102091;1665092
1028003450;469432369;87103056;1665044
1028508983;469431958;87104100;1664977
1029002454;469431632;87105212;1664865
1029512050;469431401;87106382;1664764
1030003499;469431269;87107593;1664694
1030506145;469431242;87108822;1664682
1031003132;469431317;87110051;1664756
1031507611;469431488;87111262;1664865
1032001976;469431750;87112437;1664959
1032511241;469432098;87113564;1664983
1033002133;469432536;87114627;1664994
1033509133;469433058;87115608;1664911
1034002183;469433656;87116491;1664810
1034510134;469434325;87117260;1664707
1034997128;469435053;87117904;1664609
1035507152;469435831;87118412;1664545
1036000055;469436643;87118778;1664500
1036510128;469437477;87118999;1664498
1037004477;469438319;87119074;1664548
1037511457;469439157;87119008;1664597
1038002720;469439979;87118805;1664610
1038510141;469440776;87118469;1664607
1039002144;469441537;87118004;1664595
1039503955;469442252;87117412;1664627
1040003621;469442913;87116703;1664662
1040512959;469443509;87115888;1664684
1041002130;469444036;87114982;1664715
1041509177;469444487;87113998;1664749
1042001336;469444859;87112949;1664783
1042508140;469445147;87111847;1664824
1043001250;469445347;87110704;1664850
1043507396;469445457;87109536;1664846
1043994502;469445475;87108360;1664843
1044510138;469445402;87107186;1664823
1045002132;469445240;87106031;1664810
1045509807;469444991;87104909;1664767
1046002292;469444657;87103834;1664741
1046511906;469444240;87102820;1664699
1047001458;469443743;87101882;1664736
1047509134;469443173;87101034;1664872
1048002292;469442542;87100284;1665046
1048506727;469441858;87099645;1665335
1049004153;469441135;87099122;1665526
1050000168;469439614;87098423;1665083
1050511274;469438820;87098276;1664892
1051003409;469438015;87098271;1664777
1051510136;469437210;87098408;1664767
1052004206;469436418;87098683;1664828
1052512806;469435650;87099088;1664921
1052999245;469434918;87099611;1664948
1053512354;469434227;87100249;1664928
1054003614;469433590;87100998;1664870
1054507943;469433014;87101854;1664813
1055001338;469432508;87102804;1664736
1055512651;469432081;87103838;1664747
1056000147;469431738;87104942;1664788
1056509143;469431485;87106099;1664864
1057004154;469431325;87107294;1664931
1057507455;469431260;87108511;1664979
1058003228;469431292;87109736;1664991
1058511419;469431422;87110952;1665025
1059002130;469431652;87112143;1665070
1059510281;469431978;87113289;1665067
1060004202;469432396;87114372;1665033
1060511391;469432904;87115373;1665001
1061004598;469433492;87116276;1664957
1061511252;469434147;87117076;1664873
1061995751;469434838;87117794;1664588
1062512111;469435527;87118477;1663372
1063004809;469436209;87119177;1661276
1063510837;469436884;87119933;1659156
1064001264;469437551;87120738;1657314
1064513271;469438214;87121568;1655781
1065002163;469438877;87122400;1654512
1065511800;469439541;87123219;1653321
1066003215;469440209;87124019;1652110
1066507871;469440882;87124797;1650869
1067000188;469441562;87125557;1649663
1067507147;469442246;87126303;1648501
1068002129;469442930;87127040;1647374
1068508445;469443613;87127772;1646197
1069003134;469444292;87128507;1645081
1069511998;469444967;87129246;1643873
1070003131;469445639;87129989;1642607
1070511418;469446310;87130738;1641370
1070996053;469446984;87131493;1640206
1071510396;469447659;87132250;1639079
1072003233;469448339;87133004;1637940
