timestamp;timestamp_sample;time_utc_usec;device_id;lat;lon;alt;alt_ellipsoid;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;vel_ned_valid;satellites_used;selected_rtcm_instance
681494215;0;1,68216E+15;11141125;469475374;87125634;1561280;1608598;0.13900001;0.71169287;0.30200002;0.57100004;0.56;0.91999996;62;3;0.048;-0.0050000004;-0.048;-2.776;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
681989191;0;1,68216E+15;11141125;469475374;87125633;1562591;1609909;0.142;0.7119589;0.30200002;0.57100004;0.56;0.91999996;62;4;0.015000001;0.014;-0.0050000004;-2.607;5.78188;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
682493385;0;1,68216E+15;11141125;469475384;87125637;1563664;1610981;0.136;0.11359143;0.303;0.572;0.56;0.91999996;62;4;0.76500005;0.71300006;0.27600002;-1.8080001;0.3020465;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
682988463;0;1,68216E+15;11141125;469475411;87125677;1564555;1611872;0.13900001;0.109887496;0.303;0.573;0.56;0.91999996;62;4;0.79800004;0.263;0.753;-1.7650001;1.035402;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
683494729;0;1,68216E+15;11141125;469475399;87125718;1565283;1612600;0.135;0.10212009;0.30400002;0.574;0.56;0.91999996;62;4;0.837;-0.78000003;0.30400002;-1.297;2.5040038;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
683983177;0;1,68216E+15;11141125;469475354;87125705;1565801;1613119;0.10300001;0.08322358;0.305;0.574;0.56;0.91999996;61;3;1.1580001;-0.9480001;-0.665;-1.077;3.5774977;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
684497033;0;1,68216E+15;11141125;469475321;87125647;1566264;1613582;0.10300001;0.07209833;0.305;0.573;0.56;0.91999996;61;3;1.2210001;-0.69500005;-1.0040001;-0.94200003;4.0949273;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
684988846;0;1,68216E+15;11141125;469475291;87125576;1566594;1613912;0.091000006;0.063243926;0.305;0.573;0.56;0.91999996;61;3;1.363;-0.71400005;-1.161;-0.70400006;4.1601076;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
685492139;0;1,68216E+15;11141125;469475250;87125498;1566859;1614176;0.085;0.050839;0.30600002;0.573;0.56;0.91999996;61;3;1.6850001;-1.0630001;-1.3080001;-0.59300005;4.0425544;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
685988567;0;1,68216E+15;11141125;469475192;87125403;1567029;1614346;0.079;0.038172618;0.30600002;0.573;0.56;0.91999996;61;3;2.207;-1.508;-1.6110001;-0.42100003;3.9688318;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
686494138;0;1,68216E+15;11141125;469475111;87125286;1567133;1614451;0.078;0.029034074;0.30600002;0.573;0.56;0.91999996;61;3;2.9090002;-2.0930002;-2.0210001;-0.30800003;3.9166012;0;nan;0.0;0.0;0.0;2808;3;1;1;29;0
