timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
675303416,675301516,46.947538781236275,8.712565986736077,1543.5754,1590.5028,0.0,0.7198548,2.3197129,nan,2,131,0,0
675502969,675501384,46.94753882429512,8.712566060137453,1544.1654,1591.0918,0.0,0.72143155,2.320083,nan,2,151,0,0
675703153,675701253,46.94753887672818,8.712566102733463,1544.7557,1591.6785,0.0,0.71983486,2.319709,nan,2,171,0,0
675902521,675901121,46.94753892702138,8.71256613569338,1545.3473,1592.2684,0.0,0.71984607,2.3197112,nan,2,191,0,0
676102902,676100990,46.947538982542014,8.712566163508598,1545.9392,1592.8584,0.0,0.7198468,2.3197112,nan,2,211,0,0
676302633,676300858,46.94753901858948,8.712566236269248,1546.5294,1593.4468,0.0,0.7198474,2.3197112,nan,2,231,0,0
676502135,676500727,46.947539040953025,8.712566339841551,1547.1188,1594.0352,0.0,0.72142506,2.3200812,nan,2,251,0,0
676702371,676700596,46.94753904054998,8.712566446253197,1547.7114,1594.6246,0.0,0.71983033,2.3197136,nan,2,15,0,0
676902269,676900464,46.94753902851704,8.71256650625581,1548.3066,1595.2183,0.0,0.7198325,2.3197138,nan,2,35,0,0
677102189,677100335,46.947539002409876,8.712566523662373,1548.9025,1595.8124,0.0,0.7198347,2.319714,nan,2,55,0,0
677302054,677300206,46.947538983146835,8.712566518731274,1549.4984,1596.4066,0.0,0.71983653,2.3197143,nan,2,75,0,0
677501690,677500070,46.947538976268376,8.71256646965252,1550.092,1596.9994,0.0,0.7214131,2.3200848,nan,2,95,0,0
677701826,677699939,46.94753898182168,8.712566382073344,1550.6854,1597.5898,0.0,0.7198215,2.3197112,nan,2,114,0,0
677901584,677899808,46.94753899080562,8.712566286824233,1551.2788,1598.1816,0.0,0.71982455,2.3197117,nan,2,134,0,0
678101089,678099677,46.94753898336111,8.712566234259148,1551.8752,1598.7772,0.0,0.72139966,2.3200822,nan,2,154,0,0
678301340,678299545,46.94753896508009,8.71256623946668,1552.4735,1599.3726,0.0,0.7198211,2.319711,nan,2,174,0,0
678500768,678499414,46.947538950662846,8.712566290725198,1553.0702,1599.9684,0.0,0.7213955,2.3200812,nan,2,194,0,0
678701130,678699283,46.94753893987782,8.712566365602825,1553.6635,1600.5586,0.0,0.719818,2.3197103,nan,2,214,0,0
678900989,678899151,46.94753892928573,8.712566395013658,1554.2561,1601.1494,0.0,0.7198211,2.3197107,nan,2,234,0,0
679100406,679099020,46.94753892516896,8.712566386420326,1554.8453,1601.7375,0.0,0.72139454,2.320081,nan,2,254,0,0
679300755,679298889,46.947538901103,8.712566347543039,1555.4324,1602.3212,0.0,0.71981716,2.3197098,nan,2,18,0,0
679500123,679498758,46.94753887060029,8.712566281064062,1556.0189,1602.9067,0.0,0.7213891,2.3200803,nan,2,38,0,0
679710039,679708620,46.94753884985346,8.71256618671326,1556.6342,1603.5182,0.0,0.71995294,2.3197443,nan,2,59,0,0
679899882,679898495,46.9475388372458,8.712566092670256,1557.1903,1604.0732,0.0,0.7213742,2.3200777,nan,2,78,0,0
680099675,680098364,46.94753881783692,8.712566012999739,1557.7714,1604.652,0.0,0.72136706,2.3200765,nan,2,98,0,0
680300112,680298233,46.94753880467611,8.712565952149125,1558.3522,1605.2295,0.0,0.719797,2.3197062,nan,2,118,0,0
680499382,680498102,46.94753880116396,8.712565897605309,1558.9357,1605.8121,0.0,0.72136587,2.3200765,nan,2,138,0,0
680699710,680697970,46.94753881772963,8.712565842602908,1559.5166,1606.3898,0.0,0.7197871,2.3197045,nan,2,158,0,0
680899594,680897841,46.94753884535911,8.712565776714346,1560.0968,1606.9683,0.0,0.7197921,2.3197052,nan,2,178,0,0
681109179,681107702,46.94753884280326,8.712565725964662,1560.706,1607.576,0.0,0.7199456,2.3197432,nan,2,199,0,0
681309070,681307571,46.94753881700912,8.712565686057182,1561.272,1608.1407,0.0,0.71995,2.319744,nan,2,219,0,0
681509488,681507440,46.947538779113394,8.712565641023867,1561.8134,1608.6803,0.0,0.7199331,2.319741,nan,2,239,0,0
681698809,681697315,46.94753873200212,8.712565630357624,1562.3214,1609.1875,0.0,0.721333,2.320072,nan,2,2,0,0
681898528,681897184,46.947538670190596,8.71256566839954,1562.8347,1609.6995,0.0,0.72132504,2.3200712,nan,2,22,0,0
682098476,682097053,46.94753861157816,8.712565759282938,1563.31,1610.1736,0.0,0.7213031,2.3200684,nan,2,42,0,0
682299153,682296922,46.94753881425622,8.712566071601527,1563.7408,1610.6035,0.0,0.7197479,2.3196998,nan,2,62,0,0
682508609,682506784,46.94753955509052,8.712567142922293,1564.1256,1610.9883,0.0,0.71988374,2.3197362,nan,2,83,0,0
682708434,682706653,46.94754020810497,8.712568745824012,1564.483,1611.3456,0.0,0.7198637,2.3197336,nan,2,101,0,0
682908391,682906522,46.94754032972624,8.712570457688305,1564.8215,1611.6844,0.0,0.7198504,2.3197315,nan,2,121,0,0
683108167,683106391,46.947539803908455,8.712571876026052,1565.1237,1611.9874,0.0,0.71983725,2.319729,nan,2,141,0,0
683308073,683306260,46.947538677689806,8.712572606159265,1565.3938,1612.2593,0.0,0.7198216,2.319727,nan,2,161,0,0
683507926,683506129,46.947537029683325,8.712572388974914,1565.6311,1612.4988,0.0,0.7198135,2.3197267,nan,2,181,0,0
683697427,683696005,46.94753527398005,8.712571242695837,1565.8372,1612.7058,0.0,0.72118556,2.3200564,nan,2,199,0,0
683907577,683905868,46.94753343492033,8.712569078979724,1566.0474,1612.9192,0.0,0.71978843,2.3197231,nan,2,220,0,0
684107468,684105737,46.94753203933271,8.712566485006013,1566.2446,1613.1185,0.0,0.7197962,2.3197234,nan,2,240,0,0
684307326,684305606,46.94753093683946,8.712563620015386,1566.4281,1613.3042,0.0,0.7198057,2.3197222,nan,2,3,0,0
684506911,684505475,46.94752991019109,8.712560661503163,1566.5854,1613.4628,0.0,0.7214137,2.320092,nan,2,23,0,0
684707047,684705344,46.947528833408136,8.712557707633277,1566.719,1613.6,0.0,0.7198312,2.319718,nan,2,43,0,0
684906540,684905213,46.94752764110687,8.712554714050889,1566.8379,1613.7216,0.0,0.7198658,2.3197188,nan,2,62,0,0
685106999,685105082,46.94752624655855,8.712551640484302,1566.9504,1613.8369,0.0,0.7198919,2.319718,nan,2,82,0,0
685306896,685304951,46.9475246114772,8.71254844828873,1567.0511,1613.9406,0.0,0.71991956,2.3197172,nan,2,102,0,0
685506213,685504820,46.947522705402946,8.712545032340403,1567.1375,1614.0283,0.0,0.7215943,2.320087,nan,2,122,0,0
685706597,685704690,46.947520498349824,8.712541360370466,1567.2125,1614.1077,0.0,0.7199627,2.3197138,nan,2,142,0,0
685906288,685904559,46.94751794936448,8.712537381899526,1567.2771,1614.1753,0.0,0.71999687,2.3197153,nan,2,162,0,0
686106207,686104428,46.94751502997791,8.712533018450765,1567.3308,1614.2318,0.0,0.72001755,2.3197148,nan,2,182,0,0
686306100,686304297,46.94751170510528,8.712528226668274,1567.3745,1614.2783,0.0,0.72003496,2.3197143,nan,2,202,0,0
686505519,686504166,46.947507956941486,8.712522947856295,1567.4125,1614.3176,0.0,0.7217175,2.3200846,nan,2,222,0,0
